Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Baseline,Edge Chromium 147.0.3912.72,Baseline suite for Pulse Clinic web. Expected result before fault injection: 100% PASS.,,26-04-2026 01:11:20,26-04-2026 01:16:18,4m - 57.706s,PASSED
,,,,,,,
Test Cases/Authentication/TC-001-Open-HMS-role-selection,Edge Chromium 147.0.3912.72,Open HMS role selection page.,baseline,26-04-2026 01:11:20,26-04-2026 01:11:27,6.673s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:21,26-04-2026 01:11:26,5.951s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:26,26-04-2026 01:11:27,0.345s,PASSED
,,,,,,,
Test Cases/Authentication/TC-002-Open-staff-login,Edge Chromium 147.0.3912.72,Open staff login from HMS role selection.,baseline,26-04-2026 01:11:27,26-04-2026 01:11:31,4.120s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:27,26-04-2026 01:11:31,3.774s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:31,26-04-2026 01:11:31,0.274s,PASSED
,,,,,,,
Test Cases/Authentication/TC-003-Staff-login-required-fields,Edge Chromium 147.0.3912.72,Verify staff login required field controls.,baseline,26-04-2026 01:11:31,26-04-2026 01:11:35,3.690s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:31,26-04-2026 01:11:34,3.264s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:34,26-04-2026 01:11:35,0.344s,PASSED
,,,,,,,
Test Cases/Authentication/TC-004-Staff-login-invalid-credentials,Edge Chromium 147.0.3912.72,Verify invalid staff login shows an error.,baseline,26-04-2026 01:11:35,26-04-2026 01:11:41,5.897s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:35,26-04-2026 01:11:40,5.514s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:40,26-04-2026 01:11:41,0.301s,PASSED
,,,,,,,
Test Cases/Authentication/TC-005-Staff-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify staff can log in and reach dashboard.,baseline,26-04-2026 01:11:41,26-04-2026 01:11:47,6.230s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:41,26-04-2026 01:11:47,5.958s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:47,26-04-2026 01:11:47,0.226s,PASSED
,,,,,,,
Test Cases/Authentication/TC-006-Doctor-login-success-schedule,Edge Chromium 147.0.3912.72,Verify doctor can log in and reach schedule.,baseline,26-04-2026 01:11:47,26-04-2026 01:11:52,5.587s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:47,26-04-2026 01:11:52,5.243s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:52,26-04-2026 01:11:52,0.306s,PASSED
,,,,,,,
Test Cases/Authentication/TC-007-Patient-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify patient can log in and reach dashboard.,baseline,26-04-2026 01:11:52,26-04-2026 01:11:58,5.863s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:52,26-04-2026 01:11:58,5.536s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:58,26-04-2026 01:11:58,0.291s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-008-Patient-profile-table,Edge Chromium 147.0.3912.72,Open patient profile table.,baseline,26-04-2026 01:11:58,26-04-2026 01:12:06,8.093s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:11:58,26-04-2026 01:12:06,7.681s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:06,26-04-2026 01:12:06,0.260s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-009-Patient-search,Edge Chromium 147.0.3912.72,Search patient by seeded name.,baseline,26-04-2026 01:12:06,26-04-2026 01:12:15,9.094s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:06,26-04-2026 01:12:15,8.698s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:15,26-04-2026 01:12:15,0.323s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-010-Patient-filter-gender,Edge Chromium 147.0.3912.72,Filter patients by gender.,baseline,26-04-2026 01:12:15,26-04-2026 01:12:25,9.174s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:16,26-04-2026 01:12:24,8.854s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:24,26-04-2026 01:12:25,0.256s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-011-Patient-filter-insurance,Edge Chromium 147.0.3912.72,Filter patients by insurance.,baseline,26-04-2026 01:12:25,26-04-2026 01:12:34,8.925s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:25,26-04-2026 01:12:33,8.621s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:33,26-04-2026 01:12:34,0.247s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-012-Drug-catalog-table,Edge Chromium 147.0.3912.72,Open drug catalog table.,baseline,26-04-2026 01:12:34,26-04-2026 01:12:40,6.910s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:34,26-04-2026 01:12:40,6.613s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:40,26-04-2026 01:12:40,0.248s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-013-Drug-search,Edge Chromium 147.0.3912.72,Search drug by seeded name.,baseline,26-04-2026 01:12:40,26-04-2026 01:12:49,8.416s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:41,26-04-2026 01:12:49,8.127s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:49,26-04-2026 01:12:49,0.239s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-014-Drug-filter-dosage-unit,Edge Chromium 147.0.3912.72,Filter drugs by dosage form and unit.,baseline,26-04-2026 01:12:49,26-04-2026 01:12:59,10.077s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:49,26-04-2026 01:12:59,9.764s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:59,26-04-2026 01:12:59,0.260s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-015-Room-search,Edge Chromium 147.0.3912.72,Search room by seeded room number.,baseline,26-04-2026 01:12:59,26-04-2026 01:13:07,8.407s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:12:59,26-04-2026 01:13:07,8.102s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:13:07,26-04-2026 01:13:07,0.252s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-016-Room-filter-status,Edge Chromium 147.0.3912.72,Filter rooms by available status.,baseline,26-04-2026 01:13:07,26-04-2026 01:13:16,9.026s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:13:07,26-04-2026 01:13:16,8.713s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:13:16,26-04-2026 01:13:16,0.260s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-017-Waitlist-priority-order,Edge Chromium 147.0.3912.72,Open waitlist and validate priority order when data exists.,baseline,26-04-2026 01:13:16,26-04-2026 01:13:23,6.894s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:13:16,26-04-2026 01:13:23,6.585s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:13:23,26-04-2026 01:13:23,0.258s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-018-Waitlist-filter-priority,Edge Chromium 147.0.3912.72,Filter waitlist by priority.,baseline,26-04-2026 01:13:23,26-04-2026 01:13:33,9.484s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:13:23,26-04-2026 01:13:33,9.191s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:13:33,26-04-2026 01:13:33,0.244s,PASSED
,,,,,,,
Test Cases/StaffTables/TC-019-Appointment-status-tabs,Edge Chromium 147.0.3912.72,Open appointment page and switch status tabs.,baseline,26-04-2026 01:13:33,26-04-2026 01:13:45,11.878s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 01:13:33,26-04-2026 01:13:44,11.577s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 01:13:44,26-04-2026 01:13:45,0.238s,PASSED
,,,,,,,
