Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Baseline,Edge Chromium 147.0.3912.72,Baseline suite for Pulse Clinic web. Expected result before fault injection: 100% PASS.,,26-04-2026 02:06:43,26-04-2026 02:13:22,6m - 39.162s,FAILED
,,,,,,,
Test Cases/Authentication/TC-001-Open-HMS-role-selection,Edge Chromium 147.0.3912.72,Open HMS role selection page.,baseline,26-04-2026 02:06:43,26-04-2026 02:06:49,6.594s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:06:43,26-04-2026 02:06:49,5.905s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:06:49,26-04-2026 02:06:49,0.283s,PASSED
,,,,,,,
Test Cases/Authentication/TC-002-Open-staff-login,Edge Chromium 147.0.3912.72,Open staff login from HMS role selection.,baseline,26-04-2026 02:06:49,26-04-2026 02:06:54,4.439s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:06:50,26-04-2026 02:06:54,4.079s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:06:54,26-04-2026 02:06:54,0.287s,PASSED
,,,,,,,
Test Cases/Authentication/TC-003-Staff-login-required-fields,Edge Chromium 147.0.3912.72,Verify staff login required field controls.,baseline,26-04-2026 02:06:54,26-04-2026 02:06:58,3.674s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:06:54,26-04-2026 02:06:57,3.277s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:06:57,26-04-2026 02:06:58,0.298s,PASSED
,,,,,,,
Test Cases/Authentication/TC-004-Staff-login-invalid-credentials,Edge Chromium 147.0.3912.72,Verify invalid staff login shows an error.,baseline,26-04-2026 02:06:58,26-04-2026 02:07:04,6.273s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:06:58,26-04-2026 02:07:04,5.934s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:07:04,26-04-2026 02:07:04,0.262s,PASSED
,,,,,,,
Test Cases/Authentication/TC-005-Staff-login-success-dashboard,Edge Chromium 147.0.3912.72,Verify staff can log in and reach dashboard.,baseline,26-04-2026 02:07:04,26-04-2026 02:07:20,15.943s,FAILED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:07:04,26-04-2026 02:07:20,15.589s,FAILED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:07:20,26-04-2026 02:07:20,0.280s,PASSED
,,,,,,,
Test Cases/Authentication/TC-006-Doctor-login-success-schedule,Edge Chromium 147.0.3912.72,Verify doctor can log in and reach schedule.,baseline,26-04-2026 02:07:20,26-04-2026 02:07:26,5.790s,PASSED
try,Edge Chromium 147.0.3912.72,,,26-04-2026 02:07:20,26-04-2026 02:07:25,5.487s,PASSED
Finally,Edge Chromium 147.0.3912.72,,,26-04-2026 02:07:25,26-04-2026 02:07:26,0.273s,PASSED
,,,,,,,
